case_id,project_type,state,district,land_area_acres,affected_families,affected_parcels,project_complexity,historical_performance_score,compensation_completion_pct,approval_completion_pct,documentation_completion_pct,possession_pct,rehabilitation_progress_pct,stakeholder_response_rate,legal_disputes_count,disputed_parcels_count,pending_approvals_count,incomplete_documents_count,unresolved_grievances_count,administrative_bottlenecks_score,field_verification_delay_days,planned_duration_months,elapsed_duration_months,avg_approval_time_days,avg_verification_time_days,avg_stakeholder_response_days,route_affected_parcel_count,route_land_area_acres,route_affected_households,route_complexity_score,route_legal_dispute_exposure,estimated_acquisition_cost_cr,delayed,actual_delay_months,actual_delay_days
CASE-000019,Elevated Expressway,Maharashtra,Pune,178.6,171,199,2,59.6,61.2,78.6,66.7,60.7,62.9,64.1,7,10,4,53,3,44.4,36.4,42.0,12.5,68.1,34.9,25.3,199,178.6,171,1.8,5.0,2451.4,0,0.0,0
CASE-000020,Expressway / Highway,Karnataka,Bengaluru Rural,218.4,315,250,3,65.5,28.9,59.9,25.2,21.1,19.4,42.6,24,32,7,150,6,94.1,86.3,36.0,12.5,83.7,40.0,32.6,250,218.4,315,2.9,12.8,2527.9,1,5.2,156
CASE-000021,Expressway / Highway,Telangana,Medchal,299.5,311,367,3,39.8,58.1,81.2,52.8,67.1,61.9,66.5,9,14,1,139,6,53.9,41.8,18.0,10.6,58.1,33.1,27.0,367,299.5,311,3.4,3.8,2019.0,0,0.0,0
CASE-000022,Port Connectivity,Tamil Nadu,Chennai,236.6,392,240,1,61.3,78.8,86.9,91.8,74.0,77.3,87.1,2,3,2,16,0,16.2,8.4,36.0,16.2,48.4,6.9,4.3,240,236.6,392,1.1,1.2,2625.9,0,0.0,0
CASE-000023,Expressway / Highway,Karnataka,Tumakuru,151.4,311,246,1,71.2,83.5,77.5,92.3,79.9,100.0,100.0,2,3,3,15,1,12.3,9.8,24.0,18.5,21.1,7.3,4.4,246,151.4,311,1.0,1.2,1981.1,0,0.0,0
CASE-000024,Expressway / Highway,Karnataka,Dakshina Kannada,279.0,548,344,4,44.9,53.7,60.1,51.0,44.9,32.3,71.2,8,12,7,135,7,55.0,48.9,48.0,26.3,44.8,35.8,22.5,344,279.0,548,4.3,3.5,3196.7,0,0.0,0
CASE-000025,Ring Road / Bypass,Maharashtra,Nagpur,118.2,201,173,2,63.1,51.0,72.3,62.9,44.9,35.9,61.0,13,23,3,51,7,74.5,82.5,30.0,20.2,73.3,36.0,19.5,173,118.2,201,2.4,13.3,1414.5,0,0.0,0
CASE-000026,Port Connectivity,Kerala,Kozhikode,248.2,403,257,3,68.7,13.0,24.9,20.5,11.6,15.8,40.5,17,19,9,163,7,93.0,69.3,30.0,19.6,72.7,37.6,31.8,257,248.2,403,3.2,7.4,1912.6,1,10.7,321
CASE-000027,Port Connectivity,Tamil Nadu,Krishnagiri,371.6,886,735,5,62.8,34.3,73.7,33.0,32.1,32.3,36.2,14,16,4,300,4,86.0,78.7,30.0,23.5,59.8,36.6,33.4,735,371.6,886,4.5,2.2,4589.2,1,3.6,108
CASE-000028,Port Connectivity,Maharashtra,Nagpur,218.1,299,203,3,46.4,10.6,41.9,23.3,5.9,0.0,47.7,28,35,7,125,13,98.0,83.5,48.0,13.4,96.1,49.1,41.8,203,218.1,299,2.8,17.2,1397.7,1,8.7,261
CASE-000029,Freight Corridor,Telangana,Warangal,455.5,1382,913,2,49.6,21.4,2.4,7.4,19.4,15.5,51.0,27,43,14,300,7,77.7,100.6,24.0,14.7,88.4,62.9,40.2,913,455.5,1382,2.2,4.7,5297.3,1,13.9,417
CASE-000030,Elevated Expressway,Tamil Nadu,Tiruchirappalli,328.6,408,291,3,54.8,60.9,50.3,62.5,52.0,43.3,74.0,11,15,8,87,4,53.4,43.9,24.0,12.7,55.9,42.4,26.9,291,328.6,408,2.8,5.2,2253.1,0,0.0,0
CASE-000031,Expressway / Highway,Telangana,Sangareddy,129.2,132,154,3,72.1,66.5,83.8,76.4,60.3,62.9,92.7,6,8,3,29,2,26.4,30.6,24.0,6.8,52.3,20.6,18.4,154,129.2,132,2.9,5.2,1350.1,0,0.0,0
CASE-000032,Freight Corridor,Tamil Nadu,Coimbatore,339.3,732,627,4,51.9,36.4,53.4,40.2,32.6,27.2,60.7,17,27,8,300,3,63.5,62.5,36.0,19.5,64.4,30.8,26.8,627,339.3,732,3.8,4.3,2909.4,1,6.9,207
CASE-000033,Freight Corridor,Tamil Nadu,Krishnagiri,411.8,902,572,3,61.1,94.8,89.5,99.0,95.7,85.3,100.0,6,10,2,5,2,9.4,11.2,18.0,12.6,40.5,24.3,8.3,572,411.8,902,2.6,1.7,4299.0,0,0.0,0
CASE-000034,Expressway / Highway,Gujarat,Vadodara,200.0,338,196,1,67.5,70.8,91.1,91.1,70.7,84.9,91.5,3,4,0,14,3,37.7,39.8,36.0,16.0,31.8,31.3,8.4,196,200.0,338,1.0,2.0,1473.4,0,0.0,0
CASE-000035,Freight Corridor,Gujarat,Bharuch,335.4,813,557,2,64.9,27.4,90.6,56.4,29.0,28.9,55.3,16,16,3,194,7,70.7,65.2,18.0,8.2,57.0,49.4,30.2,557,335.4,813,2.1,2.9,4712.3,1,3.6,108
CASE-000036,Ring Road / Bypass,Kerala,Kozhikode,209.0,297,168,3,63.1,53.7,70.6,51.6,52.9,48.1,67.6,18,23,3,65,6,63.1,54.0,36.0,22.3,61.7,40.5,21.8,168,209.0,297,2.8,13.7,2633.4,0,0.0,0
CASE-000037,Ring Road / Bypass,Karnataka,Tumakuru,287.2,291,271,4,71.0,37.5,41.8,22.7,30.6,34.8,45.7,22,25,8,168,4,78.1,104.6,30.0,13.6,83.2,53.2,41.9,271,287.2,291,3.7,9.2,3364.4,1,6.7,201
CASE-000038,Freight Corridor,Tamil Nadu,Krishnagiri,230.4,218,233,3,59.8,20.3,77.3,26.1,26.1,29.6,60.2,24,37,3,138,7,76.5,89.1,30.0,22.6,64.5,39.5,38.4,233,230.4,218,2.6,15.9,2294.9,1,6.7,201
CASE-000039,Port Connectivity,Telangana,Medchal,389.8,674,598,1,58.4,49.7,79.1,40.3,33.1,31.2,62.5,18,20,2,286,2,73.4,62.2,30.0,18.9,82.5,34.1,28.2,598,389.8,674,1.2,3.3,4859.2,1,3.5,105
CASE-000040,Port Connectivity,Maharashtra,Nagpur,298.0,653,442,4,61.2,72.2,87.6,66.8,57.6,59.7,72.0,9,9,2,117,3,65.7,50.7,30.0,20.4,56.3,29.9,19.0,442,298.0,653,3.7,2.0,3429.9,0,0.0,0
CASE-000041,Expressway / Highway,Tamil Nadu,Chennai,307.7,524,440,3,33.6,17.9,68.4,36.2,21.3,32.0,43.3,18,25,6,225,12,80.4,70.5,30.0,11.4,72.2,39.6,29.8,440,307.7,524,2.9,5.7,2425.5,1,8.8,264
CASE-000042,Freight Corridor,Maharashtra,Pune,440.2,486,333,4,55.1,74.4,82.7,54.9,60.4,78.6,82.8,4,7,3,120,4,42.7,34.5,24.0,9.1,53.0,13.6,11.6,333,440.2,486,3.7,2.1,2736.8,0,0.0,0
CASE-000043,Expressway / Highway,Tamil Nadu,Madurai,305.2,847,564,3,43.7,40.2,58.4,34.6,25.6,28.4,53.6,19,32,5,295,6,77.3,70.6,18.0,6.4,85.6,39.2,30.2,564,305.2,847,3.1,5.7,2816.0,1,3.1,93
CASE-000044,Expressway / Highway,Andhra Pradesh,Nellore,322.9,370,262,3,57.3,37.2,48.1,38.7,27.4,42.1,51.7,19,31,8,128,3,65.6,67.0,42.0,19.1,72.2,39.6,33.0,262,322.9,370,3.1,11.8,3554.6,1,8.8,264
CASE-000045,Port Connectivity,Karnataka,Tumakuru,286.8,952,603,3,72.3,64.0,78.2,65.6,59.6,64.7,84.7,12,19,3,166,4,25.5,59.2,36.0,15.1,55.7,25.4,11.9,603,286.8,952,3.4,3.2,2569.2,0,0.0,0
CASE-000046,Expressway / Highway,Telangana,Medchal,175.1,127,123,4,35.0,76.9,77.2,73.3,74.8,73.1,65.9,5,9,4,26,4,31.4,43.3,18.0,2.8,39.5,19.4,22.4,123,175.1,127,4.5,7.3,2126.1,0,0.0,0
CASE-000047,Expressway / Highway,Karnataka,Belagavi,278.0,508,558,4,46.6,43.9,71.1,49.3,37.9,28.5,48.9,14,21,4,226,7,58.6,56.9,24.0,5.5,72.9,40.2,23.4,558,278.0,508,4.4,3.8,2089.4,1,7.2,216
CASE-000048,Expressway / Highway,Maharashtra,Thane,282.1,258,304,4,58.9,54.3,78.6,46.1,49.6,37.1,46.9,17,20,3,131,6,50.3,49.5,42.0,14.0,47.7,30.6,28.7,304,282.1,258,4.3,6.6,2346.2,0,0.0,0
CASE-000049,Elevated Expressway,Maharashtra,Nashik,385.0,1176,662,2,71.6,73.8,71.6,77.8,62.9,61.0,79.7,11,11,6,118,3,33.1,39.1,30.0,24.7,54.5,35.7,23.7,662,385.0,1176,2.4,1.7,5307.1,0,0.0,0
CASE-000050,Expressway / Highway,Tamil Nadu,Krishnagiri,276.4,475,313,3,72.8,54.0,98.9,95.9,57.7,66.6,100.0,7,8,2,10,1,35.9,18.4,36.0,16.2,33.2,18.3,11.3,313,276.4,475,2.6,2.6,1961.1,0,0.0,0
CASE-000051,Ring Road / Bypass,Gujarat,Surat,335.0,610,587,2,60.1,78.8,97.4,90.3,72.4,60.2,85.6,6,8,3,46,1,23.0,25.9,30.0,23.0,41.0,23.3,14.1,587,335.0,610,2.3,1.4,2128.4,0,0.0,0
CASE-000052,Expressway / Highway,Kerala,Kozhikode,452.3,792,620,4,47.1,65.4,68.8,32.5,54.8,48.9,70.3,16,20,5,300,2,59.6,88.9,18.0,3.0,82.3,37.2,25.6,620,452.3,792,3.9,3.2,2863.2,0,0.0,0
CASE-000053,Port Connectivity,Gujarat,Rajkot,66.8,83,96,1,66.9,90.0,72.0,70.2,93.9,88.1,85.4,4,6,2,23,0,10.6,55.3,18.0,11.5,10.0,19.9,4.0,96,66.8,83,1.0,6.2,433.1,0,0.0,0
CASE-000054,Elevated Expressway,Andhra Pradesh,Chittoor,285.6,731,499,1,64.5,68.4,64.8,56.8,65.1,53.6,70.1,10,14,5,172,6,56.4,51.6,30.0,22.3,50.9,35.1,34.8,499,285.6,731,1.0,2.8,1490.0,0,0.0,0
CASE-000055,Freight Corridor,Telangana,Medchal,286.3,412,233,2,73.1,65.0,60.8,35.6,56.6,55.8,47.3,15,22,5,120,5,69.7,53.2,24.0,18.7,44.5,31.3,15.1,233,286.3,412,1.6,9.4,2516.1,0,0.0,0
CASE-000056,Port Connectivity,Gujarat,Vadodara,316.4,489,325,2,71.7,61.9,80.1,64.6,54.2,52.3,70.6,11,12,2,92,2,39.0,44.1,24.0,5.8,51.9,27.5,27.6,325,316.4,489,1.8,3.7,3131.6,0,0.0,0
CASE-000057,Port Connectivity,Tamil Nadu,Krishnagiri,176.4,488,343,1,68.2,63.8,60.1,39.9,63.8,43.2,59.8,19,30,6,165,3,47.1,63.0,36.0,7.2,58.2,43.8,26.2,343,176.4,488,1.0,8.7,2034.9,0,0.0,0
CASE-000058,Port Connectivity,Tamil Nadu,Coimbatore,169.7,544,316,1,56.5,100.0,86.1,86.2,90.6,83.8,100.0,8,13,1,35,1,23.8,26.9,30.0,4.5,47.4,24.1,9.1,316,169.7,544,1.1,4.1,942.5,0,0.0,0
CASE-000059,Port Connectivity,Tamil Nadu,Madurai,164.7,472,360,2,57.3,67.2,31.9,67.4,76.2,74.3,68.4,10,14,8,94,3,17.3,33.3,36.0,16.7,63.7,27.6,11.2,360,164.7,472,2.4,3.9,1653.4,0,0.0,0
CASE-000060,Expressway / Highway,Karnataka,Bengaluru Rural,92.1,91,59,1,67.8,93.8,73.3,59.5,77.1,84.1,87.0,4,5,3,19,3,50.8,41.9,30.0,25.2,53.4,31.5,7.0,59,92.1,91,1.0,8.5,1119.0,0,0.0,0
CASE-000061,Freight Corridor,Karnataka,Tumakuru,210.3,302,174,4,71.4,29.5,30.6,10.2,19.9,19.1,36.4,28,41,12,125,9,92.7,98.7,48.0,38.2,87.9,45.3,35.7,174,210.3,302,4.1,23.6,2139.3,1,10.6,318
CASE-000062,High-Speed Rail Feeder,Karnataka,Bengaluru Rural,114.5,188,130,1,59.0,58.7,87.1,76.8,48.9,41.7,69.5,8,11,2,24,3,25.7,54.3,24.0,8.3,51.0,20.4,25.5,130,114.5,188,1.0,8.5,820.1,0,0.0,0
CASE-000063,Freight Corridor,Kerala,Kozhikode,428.6,972,733,5,59.0,11.0,52.4,0.0,6.2,16.5,39.2,25,27,9,300,11,86.2,90.8,36.0,21.2,97.2,46.9,33.2,733,428.6,972,5.0,3.7,4729.5,1,10.9,327
CASE-000064,High-Speed Rail Feeder,Karnataka,Dakshina Kannada,170.8,261,189,4,65.9,65.0,80.9,71.8,61.6,70.9,84.6,6,9,2,43,1,41.7,67.1,24.0,10.2,48.8,39.1,23.7,189,170.8,261,4.1,4.8,1389.4,0,0.0,0
CASE-000065,Ring Road / Bypass,Karnataka,Mysuru,208.8,378,241,2,84.9,47.5,44.0,57.2,48.0,53.0,63.0,16,25,8,83,4,45.2,55.0,24.0,7.3,65.0,37.4,14.5,241,208.8,378,1.9,10.4,2205.6,1,3.8,114
CASE-000066,Freight Corridor,Maharashtra,Nashik,133.3,109,128,1,77.7,72.8,60.8,85.7,78.2,68.8,68.8,9,10,5,15,5,34.4,35.9,42.0,15.5,37.1,27.5,22.9,128,133.3,109,1.0,7.8,1830.0,0,0.0,0
CASE-000067,Ring Road / Bypass,Tamil Nadu,Krishnagiri,198.2,459,407,2,58.7,78.6,97.7,100.0,80.0,85.3,92.4,9,16,2,0,3,13.8,10.5,24.0,3.8,21.0,26.1,13.3,407,198.2,459,2.3,3.9,1451.4,0,0.0,0
CASE-000068,Port Connectivity,Kerala,Kozhikode,156.2,197,231,3,33.0,6.2,46.0,25.6,6.8,13.5,22.9,21,33,8,137,11,98.0,93.2,36.0,13.7,73.3,57.4,47.2,231,156.2,197,2.8,14.3,1756.8,1,11.7,351
CASE-000069,Freight Corridor,Tamil Nadu,Madurai,260.2,354,223,3,48.9,29.7,84.4,13.9,22.5,13.8,41.2,12,17,3,154,10,62.0,66.6,30.0,10.1,69.9,52.0,33.5,223,260.2,354,2.6,7.6,2597.6,1,2.7,81
CASE-000070,Expressway / Highway,Gujarat,Ahmedabad,304.8,801,467,2,57.1,32.9,62.5,8.8,17.8,10.1,36.6,32,47,6,300,10,84.3,179.2,18.0,7.0,75.2,51.5,35.7,467,304.8,801,1.6,10.1,2623.6,1,14.6,438
CASE-000071,Port Connectivity,Kerala,Palakkad,391.1,401,334,2,55.1,77.5,72.3,74.7,68.3,74.8,71.6,5,7,4,68,3,43.4,36.2,36.0,28.7,35.3,19.0,15.4,334,391.1,401,1.6,2.1,1830.8,0,0.0,0
CASE-000072,High-Speed Rail Feeder,Tamil Nadu,Madurai,295.7,322,306,3,53.2,66.9,73.1,76.7,68.4,61.3,75.5,11,18,4,57,2,56.0,69.9,48.0,36.8,55.5,19.7,18.0,306,295.7,322,3.4,5.9,3894.3,0,0.0,0
CASE-000073,Ring Road / Bypass,Tamil Nadu,Chennai,316.1,456,542,2,45.3,15.7,30.4,20.5,11.3,4.4,64.2,21,31,10,300,4,85.4,91.0,18.0,10.5,97.7,28.4,29.2,542,316.1,456,2.0,5.7,4030.3,1,8.3,249
CASE-000074,Expressway / Highway,Kerala,Thrissur,557.9,817,1012,5,58.4,16.4,62.3,36.7,5.8,8.5,42.3,19,22,6,300,11,94.1,89.8,18.0,5.2,87.5,50.1,31.4,1012,557.9,817,5.0,2.2,7624.1,1,6.1,183
CASE-000075,Expressway / Highway,Telangana,Hyderabad,237.7,413,307,3,61.0,38.4,27.6,48.3,33.6,25.9,44.3,21,33,10,127,10,67.2,69.9,30.0,21.9,85.3,53.7,28.5,307,237.7,413,3.2,10.7,2599.2,1,5.0,150
CASE-000076,Elevated Expressway,Telangana,Medchal,110.9,109,96,2,43.0,57.3,63.9,54.0,52.9,49.9,71.8,5,7,4,35,4,46.4,47.4,24.0,14.9,58.0,25.7,13.7,96,110.9,109,1.5,7.3,1075.9,0,0.0,0
CASE-000077,Expressway / Highway,Kerala,Kozhikode,298.2,494,280,2,92.7,42.6,72.3,9.1,43.2,49.2,46.2,24,35,3,204,8,85.1,104.2,18.0,14.8,83.1,48.1,34.5,280,298.2,494,1.8,12.5,1848.1,1,4.3,129
CASE-000078,Ring Road / Bypass,Tamil Nadu,Krishnagiri,133.9,317,196,3,76.5,55.9,67.9,43.6,41.7,37.9,67.3,13,20,3,88,8,60.6,50.8,18.0,4.6,52.4,35.8,24.0,196,133.9,317,3.0,10.2,1237.6,0,0.0,0
CASE-000079,Expressway / Highway,Karnataka,Dakshina Kannada,294.8,569,455,2,72.5,62.3,57.2,54.0,63.9,69.1,53.5,13,19,6,167,2,54.4,61.5,18.0,13.2,43.6,31.6,14.6,455,294.8,569,1.5,4.2,2581.2,0,0.0,0
CASE-000080,Expressway / Highway,Tamil Nadu,Coimbatore,182.7,364,364,2,62.8,66.5,92.0,68.8,75.5,64.9,76.5,6,6,1,91,5,19.6,31.7,42.0,12.5,53.1,11.2,13.5,364,182.7,364,2.5,1.6,1313.4,0,0.0,0
CASE-000081,Freight Corridor,Andhra Pradesh,Vijayawada,176.6,215,182,2,61.0,100.0,73.8,77.6,83.4,70.9,75.9,11,12,5,33,8,31.7,48.9,24.0,8.1,25.1,39.2,20.8,182,176.6,215,2.4,6.6,2215.3,0,0.0,0
CASE-000082,Expressway / Highway,Telangana,Medchal,141.8,195,224,2,68.5,71.1,45.2,49.5,66.4,63.7,72.1,11,17,9,90,6,50.0,40.1,30.0,20.4,64.3,22.8,26.9,224,141.8,195,1.7,7.6,1563.6,0,0.0,0
CASE-000083,Port Connectivity,Karnataka,Bengaluru Rural,262.6,226,159,3,67.3,51.0,100.0,56.0,50.4,35.7,70.4,11,15,2,56,4,58.1,42.2,24.0,9.4,52.3,29.0,19.1,159,262.6,226,2.9,9.4,3035.7,0,0.0,0
CASE-000084,Freight Corridor,Tamil Nadu,Coimbatore,153.9,346,208,2,49.9,54.3,64.5,65.9,54.7,43.7,68.4,13,16,5,57,2,60.2,41.9,36.0,26.7,49.3,30.4,30.9,208,153.9,346,2.2,7.7,1766.4,0,0.0,0
CASE-000085,Freight Corridor,Karnataka,Tumakuru,233.5,357,289,4,63.9,14.7,73.2,8.6,2.8,3.6,58.0,28,29,5,211,14,84.6,90.4,36.0,8.5,79.2,50.2,29.3,289,233.5,357,3.5,10.0,1332.7,1,8.6,258
CASE-000086,Freight Corridor,Karnataka,Bengaluru Rural,141.1,143,112,2,64.2,25.8,69.8,51.7,34.3,41.9,50.9,15,25,4,43,6,65.2,84.3,24.0,14.2,52.8,38.2,25.3,112,141.1,143,1.7,22.3,1662.7,1,6.3,189
CASE-000087,Elevated Expressway,Telangana,Hyderabad,250.7,883,508,3,71.5,39.6,82.9,47.5,45.2,52.7,75.5,15,15,4,213,3,57.7,35.8,24.0,19.5,56.3,28.9,21.4,508,250.7,883,3.0,3.0,3277.9,1,1.5,45
CASE-000088,Ring Road / Bypass,Telangana,Medchal,264.1,226,204,3,78.0,56.0,86.2,78.0,59.7,57.3,51.1,14,18,2,36,3,23.1,47.2,24.0,16.8,59.9,18.0,18.4,204,264.1,226,2.9,8.8,2394.6,0,0.0,0
CASE-000089,Expressway / Highway,Andhra Pradesh,Guntur,238.0,220,244,3,44.6,80.0,93.9,91.2,75.8,75.8,77.2,2,2,1,17,2,23.5,20.6,24.0,11.3,28.9,10.5,21.7,244,238.0,220,2.6,0.8,2972.8,0,0.0,0
CASE-000090,Expressway / Highway,Maharashtra,Nashik,321.6,496,571,3,67.9,69.5,79.0,55.2,63.0,53.0,70.7,10,11,2,205,2,21.8,46.7,24.0,16.2,43.0,32.8,22.7,571,321.6,496,3.1,1.9,2737.6,0,0.0,0
CASE-000091,Ring Road / Bypass,Tamil Nadu,Salem,266.4,372,237,2,66.5,42.8,69.0,42.1,42.4,33.2,53.2,17,25,4,110,2,59.0,79.4,30.0,25.1,73.5,39.7,26.6,237,266.4,372,2.3,10.5,3130.2,1,1.8,54
CASE-000092,Elevated Expressway,Telangana,Rangareddy,261.6,192,189,5,67.0,41.5,69.2,79.5,50.8,44.2,56.8,9,13,5,31,4,55.6,65.3,30.0,25.3,54.2,41.9,24.2,189,261.6,192,4.7,6.9,2895.3,0,0.0,0
CASE-000093,Freight Corridor,Kerala,Kozhikode,427.0,1651,918,3,63.3,21.9,64.7,6.0,17.2,11.4,25.0,34,60,8,300,7,77.6,130.5,24.0,6.7,72.7,72.8,34.0,918,427.0,1651,2.7,6.5,5773.8,1,14.4,432
CASE-000094,Expressway / Highway,Maharashtra,Aurangabad,303.5,573,325,2,61.4,62.5,62.1,78.8,60.6,52.3,78.7,11,12,3,55,5,43.5,67.0,24.0,7.8,52.3,36.7,16.8,325,303.5,573,1.6,3.7,2962.5,0,0.0,0
CASE-000095,Port Connectivity,Kerala,Palakkad,240.6,278,168,2,63.0,100.0,75.6,87.9,100.0,97.2,92.7,4,7,3,16,1,14.2,7.1,36.0,11.7,39.0,20.7,15.6,168,240.6,278,2.1,4.2,1532.1,0,0.0,0
CASE-000096,Ring Road / Bypass,Maharashtra,Nashik,190.2,205,157,1,50.6,64.2,87.1,97.7,55.2,49.5,89.9,8,13,1,3,1,24.3,13.8,18.0,5.2,27.5,8.0,9.2,157,190.2,205,1.0,8.3,1403.5,0,0.0,0
CASE-000097,Ring Road / Bypass,Maharashtra,Pune,195.6,245,187,3,57.5,86.0,69.1,90.7,90.1,87.9,83.3,5,7,4,14,2,10.8,52.2,30.0,13.6,43.9,22.5,18.0,187,195.6,245,3.1,3.7,1787.0,0,0.0,0
CASE-000098,Expressway / Highway,Karnataka,Tumakuru,142.5,527,304,2,71.8,57.1,99.0,63.8,52.8,53.2,70.6,10,11,0,88,7,37.1,39.2,42.0,9.5,71.4,27.3,25.6,304,142.5,527,1.5,3.6,1349.8,0,0.0,0
CASE-000099,Expressway / Highway,Tamil Nadu,Madurai,268.3,184,168,5,62.1,100.0,95.8,99.7,96.8,100.0,91.2,5,5,1,0,2,5.0,29.7,30.0,8.3,22.1,5.0,12.6,168,268.3,184,5.0,3.0,2895.8,0,0.0,0
